,line_id,direction,count
0,40,2,2259400
1,46A,2,2197203
2,46A,1,2150584
3,40,1,2125150
4,27,1,2114112
5,145,2,2099725
6,27,2,2055488
7,145,1,2025065
8,15,2,1976858
9,15,1,1927527
10,39A,2,1919713
11,39A,1,1838332
12,16,1,1717429
13,13,2,1683625
14,13,1,1681744
15,16,2,1659827
16,9,2,1415412
17,14,1,1356188
18,9,1,1355742
19,14,2,1322222
20,77A,1,1141000
21,77A,2,1128498
22,123,2,1092737
23,83,1,1090619
24,4,2,1071897
25,83,2,1033346
26,39,2,1015531
27,130,2,1015515
28,123,1,1014913
29,4,1,1009559
30,130,1,998538
31,37,2,990786
32,140,1,953468
33,122,2,934638
34,37,1,928021
35,140,2,910603
36,122,1,909464
37,17A,1,890388
38,41,2,871094
39,17A,2,867943
40,11,2,867450
41,39,1,831487
42,15B,2,831121
43,18,1,827634
44,18,2,818493
45,151,2,817749
46,15B,1,808301
47,41C,1,799659
48,67,1,796387
49,41C,2,794184
50,41,1,792418
51,11,1,785189
52,67,2,775998
53,33,2,760814
54,29A,2,760409
55,151,1,757615
56,75,2,757067
57,7A,2,733937
58,42,2,730758
59,27B,1,728724
60,33,1,724845
61,27B,2,720292
62,75,1,708643
63,7A,1,707185
64,29A,1,692939
65,1,2,686132
66,66,1,665855
67,7,1,662578
68,42,1,653581
69,1,1,650828
70,7,2,645647
71,31,2,634489
72,31,1,630196
73,15A,2,618380
74,15A,1,614669
75,38,2,597724
76,40D,1,594900
77,66,2,594695
78,17,2,589061
79,17,1,582007
80,150,2,572822
81,25A,2,572534
82,40D,2,568332
83,38,1,563222
84,25A,1,561428
85,25B,1,555882
86,25B,2,539850
87,150,1,524775
88,49,2,512705
89,102,2,511631
90,84,2,509373
91,84,1,489248
92,102,1,487108
93,49,1,475781
94,45A,2,470895
95,44,2,463186
96,44,1,457529
97,32,2,448609
98,38A,2,445236
99,45A,1,439664
100,32,1,421251
101,120,1,418295
102,68,2,414013
103,54A,1,407622
104,43,1,407330
105,68,1,403261
106,54A,2,399134
107,76,2,396509
108,43,2,395860
109,120,2,395537
110,76,1,391152
111,65,2,390538
112,69,2,386668
113,65B,1,385365
114,38A,1,385119
115,27A,2,384374
116,27A,1,379034
117,65,1,360684
118,79,1,359623
119,65B,2,347538
120,79,2,345112
121,70,2,339646
122,184,2,339404
123,184,1,336408
124,70,1,326975
125,47,2,323175
126,47,1,320740
127,63,1,314168
128,69,1,311604
129,83A,2,302975
130,83A,1,295349
131,79A,1,292166
132,61,2,290666
133,56A,1,273300
134,63,2,273110
135,61,1,269317
136,79A,2,266535
137,66B,1,260003
138,56A,2,259459
139,66A,1,244675
140,220,2,234915
141,220,1,228914
142,66A,2,225635
143,66B,2,224823
144,31A,2,217964
145,31A,1,215440
146,25,2,214731
147,26,1,211928
148,25,1,206268
149,26,2,195081
150,111,1,178984
151,111,2,169263
152,33B,2,168750
153,33B,1,145137
154,114,2,141607
155,114,1,139653
156,104,2,135084
157,104,1,130510
158,33A,2,121278
159,67X,2,114472
160,59,2,113590
161,238,2,111621
162,33A,1,107471
163,67X,1,105507
164,239,1,105120
165,238,1,103511
166,185,1,101652
167,270,2,100812
168,239,2,100411
169,59,1,99965
170,84X,2,98588
171,66X,2,96712
172,53,1,95679
173,185,2,95407
174,270,1,95278
175,38B,2,83025
176,84A,2,79995
177,41B,1,78878
178,31B,2,77851
179,84X,1,76462
180,142,1,76391
181,33X,1,75022
182,53,2,74782
183,40B,2,74385
184,66X,1,74271
185,142,2,70862
186,7B,2,70117
187,40B,1,68543
188,33X,2,66092
189,84A,1,62957
190,41B,2,58967
191,38B,1,58461
192,7B,1,49928
193,31B,1,47706
194,41X,2,44835
195,41X,1,41396
196,51D,2,34785
197,16C,1,34358
198,44B,1,33054
199,44B,2,29429
200,7D,2,29420
201,25X,2,28651
202,25D,2,28610
203,14C,2,27882
204,76A,1,27821
205,76A,2,27647
206,16C,2,27348
207,41A,2,24591
208,25D,1,24272
209,39X,1,24241
210,39X,2,24152
211,32X,2,22664
212,32X,1,21430
213,27X,2,21397
214,25X,1,20433
215,27X,1,20061
216,161,2,20030
217,51D,1,19439
218,161,1,19123
219,46E,2,18029
220,68A,1,17668
221,15D,1,17025
222,40E,1,16834
223,236,1,16666
224,40E,2,16571
225,77X,2,15523
226,236,2,14681
227,116,2,14387
228,118,2,13967
229,68A,2,13154
230,7D,1,12120
231,51X,2,11179
232,14C,1,10631
233,68X,2,9848
234,15D,2,9795
235,116,1,8107
236,38D,1,7289
237,70D,2,7204
238,31D,2,6404
239,70D,1,6380
240,38D,2,6172
241,16D,1,5903
242,31D,1,5722
243,42D,2,5595
244,42D,1,5484
245,69X,1,5001
246,33D,1,4575
247,33D,2,4185
248,69X,2,3472
249,33E,1,1452
250,41D,1,673
251,41D,2,444
